ERROR:root:hunspell-cv hunspell-cv-0:1.02-6.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libgusb libgusb-0:0.1.6-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gstreamer1-plugins-bad-free gstreamer1-plugins-bad-free-0:1.0.7-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-tl hunspell-tl-0:0.20050109-9.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:krb5 krb5-0:1.12.2-14.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:Red_Hat_Enterprise_Linux-Release_Notes-7-gu-IN Red_Hat_Enterprise_Linux-Release_Notes-7-gu-IN-0:1.0-10.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-ko hunspell-ko-0:0.5.5-5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:mtools mtools-0:4.0.18-5.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:postfix postfix-2:2.10.1-6.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:sblim-cmpi-syslog sblim-cmpi-syslog-0:0.9.0-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Data-OptList perl-Data-OptList-0:0.107-9.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:clutter clutter-0:1.14.4-12.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:aide aide-0:0.15.1-9.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gnome-font-viewer gnome-font-viewer-0:3.8.0-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Module-Pluggable perl-Module-Pluggable-1:4.8-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libpwquality libpwquality-0:1.2.3-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:fprintd fprintd-0:0.5.0-4.0.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:gtkmm30 gtkmm30-0:3.8.1-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:valgrind valgrind-1:3.10.0-7.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:libsndfile libsndfile-0:1.0.25-10.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:hunspell-mos hunspell-mos-0:0.20101130-6.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:perl-Locale-Codes perl-Locale-Codes-0:3.26-2.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:librelp librelp-0:1.2.0-3.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:atk atk-0:2.8.0-4.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
ERROR:root:rpcbind rpcbind-0:0.2.0-26.ael7b.src Have srpm name repo, no release_id(rhel-le-7.1) branch.
